iso3,cooks_d,leverage
ARE,0.12240887755180306,0.02228467310055718
SGP,0.10132552805425205,0.05150273415927792
QAT,0.05349584085348089,0.08573498848899412
LBN,0.04787611906363168,0.05401042000624113
RWA,0.04034385258618825,0.06814929439638788
JPN,0.038045146847700266,0.05474310655231282
RUS,0.0348375278944785,0.10912807990536454
GUY,0.03206430489945644,0.06584978141214769
FRA,0.02927544696840518,0.03433231393232291
ARM,0.02568909925299231,0.031522495822232224
FIN,0.01908392279778688,0.05012497332254242
ESP,0.01876300423985791,0.030706013609368702
CHN,0.01860531086806586,0.10069534459857582
IRL,0.01812755200292628,0.041099072305323205
SUR,0.017395751492440402,0.06421042165635968
NOR,0.01709884632157942,0.05421718809710707
LBY,0.01529107229684057,0.08132489028164995
DNK,0.015191157312473719,0.04959398828802075
LTU,0.011532451347995342,0.035374033719242644
CAF,0.01081143229958989,0.07013272441449944
BWA,0.010810961312514727,0.05373263641830636
MAR,0.010400883687609455,0.03581874743376696
UKR,0.009865443985808272,0.04832327168418698
COD,0.00913065902753443,0.045011052819270876
BLR,0.008838527865717236,0.09171258991434825
TUR,0.008642169857342568,0.07884419194510085
GBR,0.008069886818984828,0.046618711118436795
SDN,0.007956556334330124,0.04267742051686005
ISR,0.007814956475778735,0.05940618596121386
PRT,0.007632063543020131,0.049164837866160035
JOR,0.007625318463266616,0.028081322611060503
GHA,0.0075449191379259786,0.03571433829351299
THA,0.00740438890255862,0.01930126688664722
SYR,0.00645622260656414,0.06402322082161536
KEN,0.006251787659042029,0.03846930283219309
MYS,0.005817358358812144,0.09609806421240422
MMR,0.005683105109423369,0.0486041626406849
KAZ,0.005570386955962586,0.02526772251812037
VEN,0.005459140512217331,0.07852781205117121
BGR,0.00535580747617295,0.0358245721165825
LKA,0.005354503283892463,0.019743856708897105
IDN,0.005292916935956622,0.06918367519907566
PER,0.005269933543242759,0.04747621044797623
DEU,0.005254246331442428,0.0439353159803343
NZL,0.005059008774840784,0.04970239947740969
IND,0.0047997977383321235,0.11008147670637225
CHL,0.004786296570461199,0.024554850361733164
VNM,0.004538737154888466,0.023858961277915442
TUN,0.004397357375599836,0.0300811638909451
PHL,0.004110747755851158,0.06863032768194041
ROU,0.004025253522619568,0.014608197048775983
USA,0.003861669287721697,0.07307568693991386
MOZ,0.003508878929284644,0.045703067060989255
SVN,0.003440172662480951,0.05363747929406926
KWT,0.0033810672873716067,0.06789252520832827
NAM,0.0033354173273227993,0.03293146455080449
LAO,0.0032469863215794158,0.024687061360399644
HTI,0.0030837158341262736,0.04084523893443973
NLD,0.0030628309592654474,0.040759657431155054
KHM,0.0028789417042663994,0.013894030620256152
KGZ,0.0028712272601314087,0.031598818365181344
HUN,0.0028435024237372522,0.035764126831008956
URY,0.002537014260849214,0.03136405993075417
UGA,0.0025031696937075853,0.05751922975465739
MDG,0.0024206882760452247,0.042436110041028575
GNB,0.0023573779885079577,0.05995062994707505
PRY,0.0023186419483907567,0.02153847976305025
EGY,0.002233915126913402,0.06655828574957315
TCD,0.0022270320582867646,0.03776331298942655
ALB,0.0022198605897920543,0.03964584102272738
ECU,0.0021835226418240104,0.02713872288301569
KOR,0.0020696720571776977,0.03567023524918209
BEL,0.0020095414793048134,0.03121836092663216
DOM,0.0018650396725870331,0.03193749785164135
BIH,0.0017984458426165636,0.02971859889738121
TZA,0.0017973813864119535,0.042142813162610905
LSO,0.0017927980544314417,0.03756857083681075
COL,0.0017470373966375656,0.06719949332229683
IRQ,0.0017261603188016828,0.08414066212447593
BDI,0.0017060672890826809,0.06888212330321328
TJK,0.001701013195179812,0.018060164295826846
NER,0.0015852394888513058,0.048482783977201384
GEO,0.0015339961490195694,0.03214243890561468
GRC,0.0014745491119642412,0.01676052486738429
LBR,0.0014711904104149141,0.08402282408451767
JAM,0.001090105355984525,0.029723201841189612
BEN,0.001085658441240808,0.030281251830942307
ZMB,0.0010749092069536066,0.04241664678613023
POL,0.0010440273022904716,0.019987241442918927
MNG,0.0009158626584842103,0.030012646706886883
BGD,0.0009125516413326078,0.04906607112344212
IRN,0.000809194588761129,0.06212002052240575
PAN,0.0007583333885704274,0.028732602443180762
PAK,0.000740114135474457,0.0578680989906626
AZE,0.0006902022124516176,0.027205172780176135
GTM,0.0006677849038982798,0.015615772289342042
PNG,0.0005881333381054921,0.033773929591198126
ZAF,0.0005612128010725382,0.014145355169103178
CZE,0.0005550533601407908,0.02182222102165466
MLI,0.0005368273835464489,0.020472431005413617
SEN,0.0005020694008127521,0.028017173323238873
MRT,0.0004883485856933974,0.07617491198161029
NIC,0.0004865839845287925,0.02811316903482353
MDA,0.00048059578379812634,0.027635891997235346
NPL,0.00046428887507185594,0.019608395470728783
SLE,0.00044097621443827143,0.03016036738716658
CAN,0.0004257626472944396,0.03409762496825348
SRB,0.0004136202855949049,0.07004065574662992
AGO,0.0003962504115753487,0.05146106274666366
GMB,0.00039181443413218326,0.03440173789299111
SWE,0.0003895088809576192,0.03774641438508205
AUT,0.00035003976277976124,0.033602925510279366
DZA,0.0003112579864941841,0.04475700507384225
MWI,0.00030893700343410897,0.052518572126568595
AUS,0.00028249157740105785,0.04585959523385376
HND,0.0002451412335573703,0.013687562291868441
SLV,0.00023952636877348662,0.016598914961754262
MEX,0.00022701307166442876,0.05606713285654091
GIN,0.00020162111858557476,0.021373557368564642
BFA,0.0001826898061124067,0.02855720179722923
ETH,0.00017468694226119316,0.06844278871130788
SAU,0.0001643100791939132,0.029406374312583132
CRI,0.00014699386974461709,0.027329689455268768
ITA,0.00012142873037206943,0.02215532384854013
TGO,0.00010527211147246065,0.02608522314593575
ARG,8.463972768882416e-05,0.048364097144180336
SVK,7.997414399623867e-05,0.021401091826508907
OMN,7.822513320270392e-05,0.04255641202669952
GAB,6.940888119914537e-05,0.04711639065110475
BOL,5.6586591025496674e-05,0.02899701302236156
BRA,4.182046687615763e-05,0.04252446271169964
CMR,3.126940540080408e-05,0.016733072030704257
COG,1.1482158908081797e-05,0.02776766473961808
ZWE,8.159170512074101e-06,0.017038720260059724
CIV,4.378407082679824e-06,0.027048320484131486
HRV,4.3745218912615546e-06,0.029735777848701725
NGA,1.0162781449994557e-07,0.04391323510095606
CHE,5.9393095184807576e-08,0.049196482985877164
